Wavelength,R,G,B
300,0.0102,0.011,0.009
300.2,0.0104185047398905,0.0109796056613458,0.00901954337684993
300.4,0.0106413269467918,0.0109605309510375,0.00904416701481361
300.6,0.0108684341669606,0.010942779818148,0.00907385397992405
300.8,0.0110997939424629,0.0109263562085916,0.00910858732947112
301,0.0113353738090798,0.0109112640635443,0.00914835010763005
301.2,0.0115751412942118,0.010897507317865,0.00919312534108979
301.4,0.011819063914784,0.0108850898985155,0.00924289603468149
301.6,0.0120671091751509,0.0108740157229819,0.00929764516700694
301.8,0.0123192445650014,0.0108642886976944,0.00935735568606702
302,0.0125754375572634,0.0108559127164487,0.00942201050489008
302.2,0.0128356556060091,0.0108488916588261,0.00949159249716046
302.4,0.0130998661443598,0.0108432293886145,0.00956608449284688
302.6,0.0133680365823905,0.010838929752229,0.00964546927383087
302.8,0.0136401343050352,0.0108359965771322,0.00972972956953524
303,0.0139161266699917,0.0108344336702554,0.00981884805255251
303.2,0.0141959810056263,0.0108342448164189,0.00991280733427338
303.4,0.0144796646088788,0.0108354337767524,0.010011589960515
303.6,0.0147671447431676,0.0108380042871165,0.0101151784071498
303.8,0.0150583886362944,0.0108419600565223,0.0102235550757334
304,0.0153533634783491,0.0108473047655529,0.0103367022891335
304.2,0.0156520364196148,0.0108540420647835,0.010454602287158
304.4,0.0159543745684726,0.0108621755732024,0.0105772372221837
304.6,0.0162603449893067,0.0108717088766313,0.0107045891547846
304.8,0.016569914700409,0.0108826455261463,0.0108366400493603
305,0.0168830506718843,0.0108949890364984,0.0109733717697646
305.2,0.0171997198235548,0.0109087428845339,0.0111147660749336
305.4,0.0175198890228659,0.0109239105076157,0.0112608046145148
305.6,0.0178435250827896,0.0109404953020432,0.0114114689244946
305.8,0.018170594759731,0.0109585006214733,0.0115667404228277
306,0.0185010647514322,0.0109779297753411,0.0117266004050648
306.2,0.0188349016948774,0.0109987860272806,0.0118910300399814
306.4,0.019172072164198,0.011021072593545,0.0120600103652063
306.6,0.0195125426685774,0.0110447926414277,0.0122335222828498
306.8,0.0198562796501559,0.0110699492876827,0.0124115465551322
307,0.0202032494819355,0.0110965455969455,0.0125940638000123
307.2,0.020553418465685,0.0111245845801536,0.012781054486816
307.4,0.0209067528298447,0.011154069192967,0.0129724989318643
307.6,0.0212632187274316,0.0111850023341891,0.0131683772941023
307.8,0.0216227822339439,0.0112173868441874,0.013368669570727
308,0.021985409345266,0.0112512255033138,0.0135733555928164
308.2,0.0223510659755741,0.0112865210303255,0.0137824150209574
308.4,0.0227197179552397,0.0113232760808056,0.0139958273408745
308.6,0.0230913310287359,0.0113614932455837,0.0142135718590584
308.8,0.0234658708525417,0.0114011750491568,0.014435627698394
309,0.0238433029930465,0.0114423239481094,0.0146619737937891
309.2,0.0242235929244559,0.0114849423295347,0.0148925888878029
309.4,0.0246067060266959,0.011529032509455,0.0151274515262744
309.6,0.024992607583318,0.0115745967312424,0.0153665400539506
309.8,0.0253812627794042,0.0116216371640394,0.0156098326101153
310,0.0257726366994719,0.0116701559011795,0.0158573071242173
310.2,0.0261666943253786,0.011720154958608,0.016108941311499
310.4,0.0265634005342271,0.0117716362733026,0.0163647126686246
310.6,0.0269627200962703,0.011824601701694,0.0166245984693089
310.8,0.0273646176728156,0.0118790530180864,0.0168885757599452
311,0.0277690578141308,0.0119349919130785,0.0171566213552343
311.2,0.0281760049573483,0.011992419991984,0.0174287118338129
311.4,0.0285854234243699,0.0120513387732519,0.0177048235338814
311.6,0.0289972774197723,0.0121117496868879,0.017984932548833
311.8,0.0294115310287114,0.0121736540728742,0.018269014722882
312,0.0298281482148277,0.0122370531795907,0.0185570456466921
312.2,0.0302470928181508,0.0123019481622356,0.0188490006530047
312.4,0.0306683285530045,0.0123683400812457,0.0191448548122679
312.6,0.0310918190059118,0.0124362299007176,0.0194445829282644
312.8,0.0315175276334995,0.0125056184868277,0.0197481595337401
313,0.0319454177604034,0.0125765066062535,0.0200555588860324
313.2,0.0323754525771731,0.0126488949245936,0.0203667549626992
313.4,0.0328075951381767,0.012722784004789,0.0206817214571465
313.6,0.0332418083595063,0.0127981743055433,0.0210004317742577
313.8,0.0336780550168821,0.0128750661797433,0.0213228590260213
314,0.0341162977435575,0.0129534598728801,0.0216489760271595
314.2,0.0345564990282251,0.0130333555214693,0.0219787552907574
314.4,0.0349986212129197,0.0131147531514719,0.0223121690238902
314.6,0.0354426264909248,0.0131976526767148,0.0226491891232527
314.8,0.0358884769046768,0.0132820538973116,0.022989787170787
315,0.0363361343436698,0.0133679564980829,0.0233339344293115
315.2,0.0367855605423609,0.0134553600469776,0.0236816018381488
315.4,0.037236717078075,0.0135442639934928,0.0240327600087548
315.6,0.0376895653689094,0.0136346676670951,0.0243873792203463
315.8,0.038144066671639,0.0137265702756406,0.0247454294155303
316,0.0386001820796213,0.0138199709037963,0.025106880195932
316.2,0.0390578725207007,0.0139148685114599,0.025471700817823
316.4,0.0395170987551143,0.0140112619321813,0.0258398601877502
316.6,0.0399778213733962,0.0141091498715826,0.0262113268581641
316.8,0.0404400007942824,0.014208530905779,0.0265860690230473
317,0.0409035972626159,0.0143094034797995,0.0269640545135424
317.2,0.0413685708472516,0.0144117659060075,0.0273452507935814
317.4,0.0418348814389611,0.0145156163625212,0.0277296249555133
317.6,0.0423024887483377,0.0146209528916348,0.0281171437157328
317.8,0.0427713523037011,0.0147277733982386,0.028507773410309
318,0.0432414314490027,0.01483607564824,0.0289014799906137
318.2,0.0437126853417301,0.0149458572669839,0.0292982290189494
318.4,0.044185072950812,0.0150571157376734,0.0296979856641785
318.6,0.0446585530545238,0.0151698483997908,0.0301007146973511
318.8,0.0451330842383911,0.0152840524475177,0.0305063804873337
319,0.0456086248930965,0.015399724928156,0.0309149469964378
319.2,0.0460851332123828,0.0155168627405485,0.0313263777760481
319.4,0.0465625671909584,0.0156354626334992,0.0317406359622507
319.6,0.0470408846224032,0.0157555212041947,0.0321576842714624
319.8,0.0475200430970719,0.0158770348966241,0.0325774849960581
320,0.048,0.016,0.033
320.2,0.0484807125089474,0.0161244126472632,0.0334251907147542
320.4,0.0489621375960553,0.0162502688157727,0.0338530181427101
320.6,0.0494442320386751,0.0163775643335438,0.0342834428796439
320.8,0.049926952433811,0.0165062948876709,0.0347164251446848
321,0.0504102552127003,0.0166364560328355,0.0351519248105686
321.2,0.0508940966553953,0.016768043199813,0.0355899014338934
321.4,0.0513784329053436,0.0169010517039803,0.0360303142853726
321.6,0.0518632199839695,0.0170354767538229,0.0364731223800902
321.8,0.0523484138052557,0.0171713134594427,0.0369182845077554
322,0.0528339701903229,0.0173085568410648,0.037365759262956
322.2,0.0533198448820124,0.0174472018375451,0.0378155050754138
322.4,0.0538059935594663,0.0175872433148776,0.0382674802402386
322.6,0.0542923718527087,0.017728676074702,0.0387216429481825
322.8,0.0547789353572271,0.0178714948628105,0.0391779513158946
323,0.0552656396485531,0.0180156943776556,0.0396363634161755
323.2,0.0557524402968435,0.0181612692788571,0.0400968373082309
323.4,0.0562392928814617,0.0183082141957098,0.0405593310679273
323.6,0.0567261530055586,0.0184565237356905,0.0410238028180455
323.8,0.0572129763106532,0.0186061924929656,0.0414902107585348
324,0.0576997184912147,0.0187572150568983,0.0419585131967686
324.2,0.0581863353092426,0.0189095860205558,0.0424286685777976
324.4,0.0586727826088483,0.019063299989217,0.042900635514605
324.6,0.0591590163308358,0.0192183515888795,0.0433743728183601
324.8,0.0596449925272834,0.0193747354747671,0.0438498395286737
325,0.0601306673761241,0.0195324463398372,0.0443269949438521
325.2,0.0606159971957269,0.019691478923288,0.0448057986511508
325.4,0.061100938459478,0.0198518280190658,0.0452862105570304
325.6,0.0615854478103621,0.0200134884843726,0.0457681909174097
325.8,0.0620694820755426,0.020176455248173,0.0462517003679205
326,0.0625529982809435,0.020340723319702,0.0467366999541624
326.2,0.0630359536658306,0.0205062877969722,0.0472231511619569
326.4,0.0635183056973912,0.0206731438752808,0.0477110159476015
326.6,0.0640000120853174,0.0208412868557176,0.0482002567681252
326.8,0.0644810307963851,0.0210107121536716,0.0486908366115413
327,0.0649613200690358,0.0211814153073388,0.0491827190271029
327.2,0.0654408384279586,0.0213533919862296,0.0496758681555577
327.4,0.0659195446986696,0.0215266379996757,0.0501702487594011
327.6,0.0663973980220943,0.0217011493053378,0.0506658262531317
327.8,0.0668743578691482,0.021876922017713,0.0511625667335053
328,0.0673503840553175,0.0220539524166418,0.0516604370097891
328.2,0.0678254367552409,0.0222322369558156,0.0521594046340167
328.4,0.0682994765172904,0.0224117722712842,0.0526594379312422
328.6,0.0687724642781516,0.0225925551899629,0.0531605060297941
328.8,0.0692443613774066,0.02277458273814,0.053662578891531
329,0.069715129572113,0.022957852149984,0.0541656273420946
329.2,0.070184731051386,0.023142360876051,0.0546696231011647
329.4,0.0706531284509801,0.0233281065917921,0.0551745388127145
329.6,0.0711202848678686,0.0235150872060607,0.0556803480752632
329.8,0.0715861638748259,0.0237033008696198,0.0561870254721316
330,0.0720507295350084,0.0238927459836493,0.0566945466016969
330.2,0.072513946416535,0.0240834212082535,0.0572028881076459
330.4,0.0729757796070688,0.0242753254709682,0.0577120277092302
330.6,0.0734361947283979,0.0244684579752684,0.0582219442315207
330.8,0.0738951579510164,0.0246628182090751,0.0587326176356612
331,0.0743526360087056,0.0248584059532632,0.059244029049124
331.2,0.0748085962131151,0.0250552212901687,0.0597561607959634
331.4,0.0752630064683437,0.0252532646120955,0.0602689964270702
331.6,0.0757158352855207,0.0254525366298235,0.0607825207504267
331.8,0.0761670517973871,0.0256530383811155,0.0612967198613606
332,0.0766166257728758,0.0258547712392246,0.0618115811727995
332.2,0.0770645276316938,0.0260577369214017,0.0623270934455254
332.4,0.0775107284589027,0.0262619374974027,0.062843246818429
332.6,0.0779552000194999,0.0264673753979957,0.0633600328387645
332.8,0.0783979147729995,0.0266740534234687,0.0638774444924032
333,0.0788388458880134,0.0268819747521365,0.0643954762340888
333.2,0.0792779672568329,0.0270911429488485,0.0649141240176915
333.4,0.0797152535100089,0.0273015619734956,0.065433385326462
333.6,0.0801506800309337,0.0275132361895179,0.0659532592032866
333.8,0.0805842229704217,0.027726170372412,0.0664737462809411
334,0.0810158592612905,0.0279403697182378,0.0669948488123453
334.2,0.0814455666329421,0.0281558398521266,0.0675165707008179
334.4,0.0818733236259441,0.0283725868367881,0.0680389175303302
